slug,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed,is_pass,difficulty
minimum-bit-flips-to-convert-number,250.0,250.0,100,SUCCESS,33.6156,Accepted,True,0,Easy
find-all-k-distant-indices-in-an-array,87.0,87.0,42.9271,SUCCESS,27.317,Accepted,True,0,Easy
count-hills-and-valleys-in-an-array,121.0,121.0,100,SUCCESS,63.0986,Accepted,True,0,Easy
most-frequent-number-following-key-in-an-array,101.0,101.0,42.4243,SUCCESS,87.8788,Accepted,True,1,Easy
divide-array-into-equal-pairs,137.0,137.0,68.1967,SUCCESS,72.6777,Accepted,True,1,Easy
count-integers-with-even-digit-sum,71.0,71.0,27.77,SUCCESS,89.2005,Accepted,True,1,Easy
counting-words-with-a-given-prefix,95.0,95.0,100,SUCCESS,44.4235,Accepted,True,1,Easy
count-operations-to-obtain-zero,161.0,161.0,80.1642,SUCCESS,15.7276,Accepted,True,1,Easy
sort-even-and-odd-indices-independently,218.0,218.0,100,SUCCESS,84.9641,Accepted,True,1,Easy
count-equal-and-divisible-pairs-in-an-array,238.0,238.0,64.5307,SUCCESS,31.9371,Accepted,True,0,Easy
count-elements-with-strictly-smaller-and-greater-elements,127.0,127.0,100,SUCCESS,16.3317,Accepted,True,1,Easy
minimum-sum-of-four-digit-number-after-splitting-digits,99.0,99.0,100,SUCCESS,94.933,Accepted,True,0,Easy
divide-a-string-into-groups-of-size-k,157.0,157.0,100,SUCCESS,65.7492,Accepted,True,1,Easy
check-if-every-row-and-column-contains-all-numbers,227.0,227.0,52.2631,SUCCESS,76.3374,Accepted,True,1,Easy
a-number-after-a-double-reversal,129.0,129.0,100,SUCCESS,82.9612,Accepted,True,0,Easy
capitalize-the-title,200.0,200.0,100,SUCCESS,6.6406,Accepted,True,1,Easy
find-first-palindromic-string-in-the-array,266.0,266.0,100,SUCCESS,80.7345,Accepted,True,1,Easy
rings-and-rods,66.0,66.0,100,SUCCESS,30.8641,Accepted,True,1,Easy
maximum-number-of-words-found-in-sentences,90.0,90.0,100,SUCCESS,80.3878,Accepted,True,1,Easy
finding-3-digit-even-numbers,79.0,79.0,68.8474,SUCCESS,43.2722,Accepted,True,1,Easy
find-target-indices-after-sorting-array,216.0,216.0,100,SUCCESS,57.0697,Accepted,True,0,Easy
find-subsequence-of-length-k-with-the-largest-sum,49.0,49.0,83.6653,SUCCESS,93.2271,Accepted,True,0,Easy
two-furthest-houses-with-different-colors,126.0,126.0,32.7749,SUCCESS,57.1728,Accepted,True,1,Easy
time-needed-to-buy-tickets,65.0,65.0,52.3086,SUCCESS,36.5127,Accepted,True,0,Easy
count-common-words-with-one-occurrence,61.0,61.0,100,SUCCESS,24.3921,Accepted,True,1,Easy
count-vowel-substrings-of-a-string,88.0,88.0,27.0898,SUCCESS,82.2388,Accepted,True,1,Easy
smallest-index-with-equal-value,663.0,663.0,100,SUCCESS,72.679,Accepted,True,1,Easy
number-of-valid-words-in-a-sentence,244.0,244.0,49.4648,SUCCESS,97.6445,Accepted,True,1,Easy
check-if-numbers-are-ascending-in-a-sentence,98.0,98.0,100,SUCCESS,31.5385,Accepted,True,1,Easy
kth-distinct-string-in-an-array,66.0,66.0,68.1016,SUCCESS,67.7488,Accepted,True,1,Easy
two-out-of-three,288.0,288.0,100,SUCCESS,35.3798,Accepted,True,1,Easy
minimum-moves-to-convert-string,55.0,55.0,100,SUCCESS,52.6957,Accepted,True,1,Easy
maximum-difference-between-increasing-elements,54.0,54.0,100,SUCCESS,89.1815,Accepted,True,1,Easy
final-value-of-variable-after-performing-operations,259.0,259.0,100,SUCCESS,60.9747,Accepted,True,1,Easy
convert-1d-array-into-2d-array,107.0,107.0,52.4815,SUCCESS,94.665,Accepted,True,1,Easy
reverse-prefix-of-word,112.0,112.0,100,SUCCESS,84.8391,Accepted,True,1,Easy
count-special-quadruplets,211.0,211.0,49.2186,SUCCESS,57.7244,Accepted,True,1,Easy
find-if-path-exists-in-graph,34.0,34.0,92.6915,SUCCESS,94.3255,Accepted,True,1,Easy
count-number-of-pairs-with-absolute-difference-k,237.0,237.0,100,SUCCESS,18.4794,Accepted,True,1,Easy
find-greatest-common-divisor-of-array,215.0,215.0,7.9411,SUCCESS,73.0001,Accepted,True,1,Easy
find-the-middle-index-in-array,294.0,294.0,100,SUCCESS,18.5876,Accepted,True,1,Easy
number-of-strings-that-appear-as-substrings-in-word,82.0,82.0,100,SUCCESS,72.4018,Accepted,True,1,Easy
check-if-string-is-a-prefix-of-array,349.0,349.0,100,SUCCESS,91.7671,Accepted,True,1,Easy
three-divisors,228.0,228.0,100,SUCCESS,18.4764,Accepted,True,1,Easy
concatenation-of-array,92.0,92.0,22.2698,SUCCESS,69.8905,Accepted,True,1,Easy
check-if-all-characters-have-equal-number-of-occurrences,134.0,134.0,100,SUCCESS,25.7561,Accepted,True,1,Easy
build-array-from-permutation,140.0,140.0,54.5647,SUCCESS,32.7798,Accepted,True,1,Easy
maximum-product-difference-between-two-pairs,96.0,96.0,25.1457,SUCCESS,60.1863,Accepted,True,1,Easy
count-square-sum-triples,91.0,91.0,28.7265,SUCCESS,81.3285,Accepted,True,1,Easy
redistribute-characters-to-make-all-strings-equal,179.0,179.0,61.7349,SUCCESS,86.7347,Accepted,True,1,Easy
remove-one-element-to-make-the-array-strictly-increasing,109.0,109.0,100,SUCCESS,15.6146,Accepted,True,1,Easy
determine-whether-matrix-can-be-obtained-by-rotation,113.0,113.0,100,SUCCESS,58.0499,Accepted,True,1,Easy
check-if-all-the-integers-in-a-range-are-covered,106.0,106.0,100,SUCCESS,88.064,Accepted,True,1,Easy
longer-contiguous-segments-of-ones-than-zeros,141.0,141.0,100,SUCCESS,80.1419,Accepted,True,1,Easy
sum-of-all-subset-xor-totals,48.0,48.0,13.3008,SUCCESS,42.6807,Accepted,True,1,Easy
substrings-of-size-three-with-distinct-characters,160.0,160.0,100,SUCCESS,96.3792,Accepted,True,1,Easy
maximum-population-year,53.0,53.0,100,SUCCESS,66.7782,Accepted,True,1,Easy
sum-of-digits-in-base-k,65.0,65.0,100,SUCCESS,98.1558,Accepted,True,1,Easy
check-if-the-sentence-is-pangram,79.0,79.0,100,SUCCESS,96.5322,Accepted,True,1,Easy
sign-of-the-product-of-an-array,76.0,76.0,100,SUCCESS,63.942,Accepted,True,1,Easy
truncate-sentence,72.0,72.0,1.3388,SUCCESS,31.5138,Accepted,True,1,Easy
minimum-operations-to-make-the-array-increasing,94.0,94.0,39.2724,SUCCESS,9.4103,Accepted,True,1,Easy
number-of-different-integers-in-a-string,85.0,85.0,100,SUCCESS,34.9443,Accepted,True,1,Easy
maximum-ascending-subarray-sum,104.0,104.0,100,SUCCESS,97.2433,Accepted,True,1,Easy
find-center-of-star-graph,61.0,61.0,100,SUCCESS,79.6502,Accepted,True,1,Easy
check-if-one-string-swap-can-make-strings-equal,137.0,137.0,100,SUCCESS,58.7135,Accepted,True,1,Easy
second-largest-digit-in-a-string,301.0,301.0,100,SUCCESS,54.0541,Accepted,True,1,Easy
count-items-matching-a-rule,92.0,92.0,100,SUCCESS,53.056,Accepted,True,1,Easy
merge-strings-alternately,108.0,108.0,56.4418,SUCCESS,73.853,Accepted,True,1,Easy
minimum-changes-to-make-alternating-binary-string,89.0,89.0,87.0564,SUCCESS,62.4217,Accepted,True,1,Easy
check-if-array-is-sorted-and-rotated,112.0,112.0,100,SUCCESS,36.659,Accepted,True,1,Easy
longest-nice-substring,73.0,73.0,73.0665,SUCCESS,40.0363,Accepted,True,1,Easy
latest-time-by-replacing-hidden-digits,159.0,159.0,100,SUCCESS,83.0189,Accepted,True,1,Easy
sum-of-unique-elements,73.0,73.0,100,SUCCESS,33.0769,Accepted,True,1,Easy
maximum-number-of-balls-in-a-box,97.0,97.0,72.7272,SUCCESS,25.7576,Accepted,True,1,Easy
number-of-rectangles-that-can-form-the-largest-square,68.0,68.0,81.7911,SUCCESS,97.3134,Accepted,True,1,Easy
decode-xored-array,76.0,76.0,100,SUCCESS,62.7054,Accepted,True,1,Easy
find-the-highest-altitude,80.0,80.0,100,SUCCESS,81.838,Accepted,True,1,Easy
maximum-units-on-a-truck,77.0,77.0,92.0565,SUCCESS,96.4696,Accepted,True,1,Easy
determine-if-string-halves-are-alike,113.0,113.0,100,SUCCESS,22.3663,Accepted,True,1,Easy
calculate-money-in-leetcode-bank,106.0,106.0,51.6129,SUCCESS,98.0149,Accepted,True,1,Easy
reformat-phone-number,108.0,108.0,12.9533,SUCCESS,81.3471,Accepted,True,1,Easy
count-of-matches-in-tournament,200.0,200.0,89.6698,SUCCESS,29.5512,Accepted,True,1,Easy
number-of-students-unable-to-eat-lunch,55.0,55.0,100,SUCCESS,89.7933,Accepted,True,0,Easy
goal-parser-interpretation,105.0,105.0,19.7825,SUCCESS,89.6043,Accepted,True,1,Easy
richest-customer-wealth,34.0,34.0,100,SUCCESS,85.7399,Accepted,True,1,Easy
count-the-number-of-consistent-strings,74.0,74.0,91.6206,SUCCESS,98.6167,Accepted,True,1,Easy
design-an-ordered-stream,101.0,101.0,6.0775,SUCCESS,26.1511,Accepted,True,1,Easy
get-maximum-in-generated-array,101.0,101.0,100,SUCCESS,66.6667,Accepted,True,1,Easy
maximum-repeating-substring,212.0,212.0,100,SUCCESS,37.1115,Accepted,True,1,Easy
check-array-formation-through-concatenation,85.0,85.0,25,SUCCESS,89.7321,Accepted,True,0,Easy
defuse-the-bomb,74.0,74.0,42.4908,SUCCESS,53.4799,Accepted,True,1,Easy
slowest-key,109.0,109.0,53.4005,SUCCESS,77.33,Accepted,True,1,Easy
largest-substring-between-two-equal-characters,58.0,58.0,100,SUCCESS,52.8344,Accepted,True,0,Easy
widest-vertical-area-between-two-points-containing-no-points,55.0,55.0,91.6541,SUCCESS,44.7649,Accepted,True,1,Easy
maximum-nesting-depth-of-the-parentheses,168.0,168.0,100,SUCCESS,29.3257,Accepted,True,1,Easy
mice-and-cheese,564.0,564.0,52.7206,SUCCESS,28.0338,Accepted,True,0,Medium
convert-an-array-into-a-2d-array-with-conditions,1035.0,1035.0,56.6973,SUCCESS,43.4862,Accepted,True,0,Medium
sum-of-distances,1068.0,1068.0,92.8144,SUCCESS,47.3056,Accepted,True,1,Medium
minimize-the-maximum-difference-of-pairs,1582.0,1582.0,50.1835,SUCCESS,38.5456,Accepted,True,0,Medium
minimum-operations-to-make-all-array-elements-equal,31.0,31.0,83.9691,SUCCESS,29.7707,Accepted,True,0,Medium
prime-subtraction-operation,654.0,654.0,11.7977,SUCCESS,21.8288,Accepted,True,0,Medium
find-the-divisibility-array-of-a-string,51.0,51.0,78.4921,SUCCESS,84.0782,Accepted,True,0,Medium
find-the-maximum-number-of-marked-indices,68.0,68.0,46.7067,SUCCESS,32.3354,Accepted,True,0,Medium
minimum-operations-to-reduce-an-integer-to-0,41.0,41.0,100,SUCCESS,38.8286,Accepted,True,0,Medium
minimum-score-by-changing-two-elements,70.0,70.0,90.5882,SUCCESS,25.8822,Accepted,True,0,Medium
minimum-impossible-or,73.0,73.0,98.374,SUCCESS,12.1953,Accepted,True,0,Medium
substring-xor-queries,59.0,59.0,13.7248,SUCCESS,45.0976,Accepted,True,0,Medium
count-the-number-of-fair-pairs,55.0,55.0,6.6964,SUCCESS,12.7813,Accepted,True,1,Medium
the-number-of-beautiful-subsets,1308.0,1308.0,45.3423,SUCCESS,51.447,Accepted,True,0,Medium
find-score-of-an-array-after-marking-all-elements,1044.0,1044.0,37.7982,SUCCESS,72.7426,Accepted,True,1,Medium
count-vowel-strings-in-ranges,94.0,94.0,78.3295,SUCCESS,76.5238,Accepted,True,0,Medium
house-robber-iv,64.0,64.0,86.512,SUCCESS,77.082,Accepted,True,0,Medium
maximize-win-from-two-segments,72.0,72.0,73.9502,SUCCESS,42.0169,Accepted,True,0,Medium
make-k-subarray-sums-equal,1040.0,1040.0,11.1117,SUCCESS,88.889,Accepted,True,0,Medium
find-the-substring-with-maximum-cost,1054.0,1054.0,59.6342,SUCCESS,86.6973,Accepted,True,0,Medium
minimum-time-to-repair-cars,1072.0,1072.0,81.1238,SUCCESS,82.251,Accepted,True,0,Medium
maximize-greatness-of-an-array,1072.0,1072.0,33.2884,SUCCESS,54.8994,Accepted,True,0,Medium
smallest-missing-non-negative-integer-after-operations,1062.0,1062.0,70.5042,SUCCESS,57.5542,Accepted,True,0,Medium
count-the-number-of-beautiful-subarrays,114.0,114.0,53.7639,SUCCESS,36.5592,Accepted,True,1,Medium
rearrange-array-to-maximize-prefix-score,1071.0,1071.0,67.9084,SUCCESS,60.7451,Accepted,True,0,Medium
count-ways-to-group-overlapping-ranges,32.0,32.0,30.058,SUCCESS,10.9827,Accepted,True,0,Medium
count-total-number-of-colored-cells,94.0,94.0,100,SUCCESS,33.1353,Accepted,True,0,Medium
kth-largest-sum-in-a-binary-tree,51.0,51.0,92.9121,SUCCESS,43.1433,Accepted,True,1,Medium
disconnect-path-in-a-binary-matrix-by-at-most-one-flip,55.0,55.0,87.8049,SUCCESS,81.301,Accepted,True,1,Medium
maximum-number-of-integers-to-choose-from-a-range-i,208.0,208.0,85.3551,SUCCESS,5.0296,Accepted,True,1,Medium
maximum-subsequence-score,28.0,28.0,35.4399,SUCCESS,86.3186,Accepted,True,0,Medium
apply-bitwise-operations-to-make-strings-equal,71.0,71.0,100,SUCCESS,12.6985,Accepted,True,0,Medium
sort-the-students-by-their-kth-score,33.0,33.0,100,SUCCESS,84.2976,Accepted,True,1,Medium
minimize-the-maximum-of-two-arrays,63.0,63.0,100,SUCCESS,66.6667,Accepted,True,0,Medium
count-the-number-of-good-subarrays,41.0,41.0,70.7684,SUCCESS,93.786,Accepted,True,0,Medium
find-xor-beauty-of-array,32.0,32.0,65.4618,SUCCESS,59.0362,Accepted,True,0,Medium
find-consecutive-integers-from-a-data-stream,38.0,38.0,89.0108,SUCCESS,6.3183,Accepted,True,1,Medium
maximal-score-after-applying-k-operations,40.0,40.0,15.751,SUCCESS,29.6704,Accepted,True,1,Medium
make-number-of-distinct-characters-equal,99.0,99.0,32.5306,SUCCESS,59.0361,Accepted,True,0,Medium
closest-prime-numbers-in-range,68.0,68.0,16.1327,SUCCESS,87.1401,Accepted,True,1,Medium
distinct-prime-factors-of-product-of-array,81.0,81.0,90.345,SUCCESS,90.3448,Accepted,True,1,Medium
difference-between-ones-and-zeros-in-row-and-column,85.0,85.0,33.4737,SUCCESS,68.6197,Accepted,True,1,Medium
minimum-operations-to-make-array-equal-ii,68.0,68.0,94.3182,SUCCESS,95.4545,Accepted,True,0,Medium
reward-top-k-students,30.0,30.0,54.4247,SUCCESS,68.1417,Accepted,True,1,Medium
maximum-tastiness-of-candy-basket,40.0,40.0,47.7342,SUCCESS,78.3919,Accepted,True,0,Medium
smallest-value-after-replacing-with-sum-of-prime-factors,209.0,209.0,100,SUCCESS,35.4037,Accepted,True,0,Medium
frog-jump-ii,34.0,34.0,65.0976,SUCCESS,47.0589,Accepted,True,0,Medium
maximum-star-sum-of-a-graph,25.0,25.0,85.849,SUCCESS,51.4149,Accepted,True,0,Medium
design-memory-allocator,109.0,109.0,23.2312,SUCCESS,29.4051,Accepted,True,0,Medium
longest-square-streak-in-an-array,92.0,92.0,64.5555,SUCCESS,55.3795,Accepted,True,0,Medium
minimum-score-of-a-path-between-two-cities,43.0,43.0,82.7734,SUCCESS,75.7659,Accepted,True,0,Medium
divide-players-into-teams-of-equal-skill,89.0,89.0,80.1652,SUCCESS,13.6954,Accepted,True,0,Medium
minimum-penalty-for-a-shop,42.0,42.0,30.2923,SUCCESS,12.0389,Accepted,True,0,Medium
remove-nodes-from-linked-list,32.0,32.0,65.1928,SUCCESS,45.7394,Accepted,True,0,Medium
append-characters-to-string-to-make-subsequence,86.0,86.0,90.3382,SUCCESS,20.2899,Accepted,True,1,Medium
minimum-fuel-cost-to-report-to-the-capital,131.0,131.0,6.8911,SUCCESS,5.03,Accepted,True,0,Medium
closest-nodes-queries-in-a-binary-search-tree,35.0,35.0,15.177,SUCCESS,85.095,Accepted,True,1,Medium
count-ways-to-build-good-strings,36.0,36.0,67.7021,SUCCESS,83.0188,Accepted,True,0,Medium
minimum-number-of-operations-to-sort-a-binary-tree-by-level,146.0,146.0,50.5088,SUCCESS,16.0894,Accepted,True,0,Medium
