slug,is_pass
jewels-and-stones,1
minimum-distance-between-bst-nodes,1
rotate-string,1
unique-morse-code-words,1
number-of-lines-to-write-string,1
largest-triangle-area,1
most-common-word,1
shortest-distance-to-a-character,1
goat-latin,1
positions-of-large-groups,1
flipping-an-image,1
rectangle-overlap,1
backspace-string-compare,1
buddy-strings,1
lemonade-change,1
transpose-matrix,1
binary-gap,1
leaf-similar-trees,1
middle-of-the-linked-list,1
projection-area-of-3d-shapes,0
uncommon-words-from-two-sentences,1
fair-candy-swap,1
surface-area-of-3d-shapes,1
monotonic-array,1
increasing-order-search-tree,1
sort-array-by-parity,1
smallest-range-i,1
x-of-a-kind-in-a-deck-of-cards,1
reverse-only-letters,1
sort-array-by-parity-ii,1
long-pressed-name,1
unique-email-addresses,1
number-of-recent-calls,1
range-sum-of-bst,1
valid-mountain-array,1
di-string-match,1
delete-columns-to-make-sorted,1
verifying-an-alien-dictionary,1
n-repeated-element-in-size-2n-array,1
univalued-binary-tree,1
largest-perimeter-triangle,1
squares-of-a-sorted-array,1
add-to-array-form-of-integer,1
cousins-in-binary-tree,1
find-the-town-judge,1
available-captures-for-rook,1
add-two-numbers,1
longest-substring-without-repeating-characters,1
longest-palindromic-substring,1
zigzag-conversion,1
reverse-integer,1
string-to-integer-atoi,1
container-with-most-water,1
integer-to-roman,1
3sum,1
3sum-closest,1
letter-combinations-of-a-phone-number,1
4sum,1
remove-nth-node-from-end-of-list,1
generate-parentheses,1
swap-nodes-in-pairs,0
divide-two-integers,1
next-permutation,1
search-in-rotated-sorted-array,1
find-first-and-last-position-of-element-in-sorted-array,1
valid-sudoku,1
count-and-say,1
combination-sum,1
combination-sum-ii,1
multiply-strings,0
jump-game-ii,1
permutations,1
permutations-ii,1
rotate-image,1
group-anagrams,1
powx-n,1
maximum-subarray,1
spiral-matrix,1
jump-game,1
merge-intervals,1
insert-interval,1
spiral-matrix-ii,1
rotate-list,1
unique-paths,1
unique-paths-ii,1
minimum-path-sum,1
simplify-path,1
set-matrix-zeroes,1
search-a-2d-matrix,1
sort-colors,1
combinations,1
subsets,1
word-search,1
remove-duplicates-from-sorted-array-ii,1
search-in-rotated-sorted-array-ii,1
remove-duplicates-from-sorted-list-ii,1
partition-list,1
gray-code,1
subsets-ii,0
decode-ways,1
reverse-linked-list-ii,1
restore-ip-addresses,1
unique-binary-search-trees-ii,1
unique-binary-search-trees,1
interleaving-string,1
validate-binary-search-tree,1
recover-binary-search-tree,1
check-if-word-is-valid-after-substitutions,1
max-consecutive-ones-iii,0
clumsy-factorial,1
minimum-domino-rotations-for-equal-row,0
construct-binary-search-tree-from-preorder-traversal,1
pairs-of-songs-with-total-durations-divisible-by-60,1
capacity-to-ship-packages-within-d-days,1
best-sightseeing-pair,1
smallest-integer-divisible-by-k,1
binary-string-with-substrings-representing-1-to-n,1
convert-to-base-2,1
next-greater-node-in-linked-list,1
binary-tree-level-order-traversal,1
number-of-enclaves,1
camelcase-matching,1
video-stitching,1
maximum-difference-between-node-and-ancestor,1
longest-arithmetic-subsequence,1
two-city-scheduling,1
binary-tree-zigzag-level-order-traversal,0
maximum-sum-of-two-non-overlapping-subarrays,1
moving-stones-until-consecutive,0
coloring-a-border,0
uncrossed-lines,1
binary-search-tree-to-greater-sum-tree,1
minimum-score-triangulation-of-polygon,1
moving-stones-until-consecutive-ii,1
robot-bounded-in-circle,1
flower-planting-with-no-adjacent,1
partition-array-for-maximum-sum,1
longest-string-chain,1
last-stone-weight-ii,1
construct-binary-tree-from-preorder-and-inorder-traversal,1
grumpy-bookstore-owner,1
previous-permutation-with-one-swap,1
distant-barcodes,1
construct-binary-tree-from-inorder-and-postorder-traversal,1
lexicographically-smallest-equivalent-string,1
binary-tree-level-order-traversal-ii,1
flip-columns-for-maximum-number-of-equal-rows,1
adding-two-negabinary-numbers,0
letter-tile-possibilities,1
insufficient-nodes-in-root-to-leaf-paths,1
smallest-subsequence-of-distinct-characters,1
convert-sorted-list-to-binary-search-tree,1
largest-values-from-labels,1
shortest-path-in-binary-matrix,1
statistics-from-a-large-sample,1
car-pooling,1
path-in-zigzag-labelled-binary-tree,1
filling-bookcase-shelves,1
corporate-flight-bookings,1
delete-nodes-and-return-forest,1
maximum-nesting-depth-of-two-valid-parentheses-strings,0
print-foobar-alternately,0
print-zero-even-odd,0
building-h2o,1
lowest-common-ancestor-of-deepest-leaves,1
longest-well-performing-interval,1
shortest-path-with-alternating-colors,1
path-sum-ii,1
minimum-cost-tree-from-leaf-values,1
maximum-of-absolute-value-expression,1
alphabet-board-path,0
largest-1-bordered-square,0
flatten-binary-tree-to-linked-list,1
stone-game-ii,0
longest-common-subsequence,1
decrease-elements-to-make-array-zigzag,0
binary-tree-coloring-game,0
snapshot-array,1
number-of-dice-rolls-with-target-sum,1
swap-for-longest-repeated-character-substring,0
populating-next-right-pointers-in-each-node,1
maximum-level-sum-of-a-binary-tree,1
as-far-from-land-as-possible,1
invalid-transactions,1
populating-next-right-pointers-in-each-node-ii,0
compare-strings-by-frequency-of-the-smallest-character,1
remove-zero-sum-consecutive-nodes-from-linked-list,0
can-make-palindrome-from-substring,1
maximum-subarray-sum-with-one-deletion,0
reverse-substrings-between-each-pair-of-parentheses,1
k-concatenation-maximum-sum,1
fizz-buzz-multithreaded,0
triangle,1
ugly-number-iii,1
smallest-string-with-swaps,1
get-equal-substrings-within-budget,1
remove-all-adjacent-duplicates-in-string-ii,1
longest-arithmetic-subsequence-of-given-difference,1
path-with-maximum-gold,1
best-time-to-buy-and-sell-stock-ii,1
queens-that-can-attack-the-king,1
the-dining-philosophers,0
airplane-seat-assignment-probability,1
remove-sub-folders-from-the-filesystem,0
replace-the-substring-for-balanced-string,1
find-positive-integer-solution-for-a-given-equation,1
circular-permutation-in-binary-representation,1
maximum-length-of-a-concatenated-string-with-unique-characters,1
minimum-swaps-to-make-strings-equal,1
count-number-of-nice-subarrays,0
minimum-remove-to-make-valid-parentheses,1
reconstruct-a-2-row-binary-matrix,1
number-of-closed-islands,1
find-elements-in-a-contaminated-binary-tree,1
greatest-sum-divisible-by-three,0
count-servers-that-communicate,1
search-suggestions-system,1
number-of-burgers-with-no-waste-of-ingredients,1
count-square-submatrices-with-all-ones,1
longest-consecutive-sequence,1
group-the-people-given-the-group-size-they-belong-to,0
find-the-smallest-divisor-given-a-threshold,1
iterator-for-combination,1
remove-covered-intervals,1
sum-root-to-leaf-numbers,1
sequential-digits,1
maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,0
divide-array-in-sets-of-k-consecutive-numbers,0
maximum-number-of-occurrences-of-a-substring,1
surrounded-regions,1
sum-of-mutated-array-closest-to-target,1
deepest-leaves-sum,1
all-elements-in-two-binary-search-trees,1
jump-game-iii,1
palindrome-partitioning,1
xor-queries-of-a-subarray,1
get-watched-videos-by-your-friends,0
matrix-block-sum,1
sum-of-nodes-with-even-valued-grandparent,1
minimum-flips-to-make-a-or-b-equal-to-c,1
number-of-operations-to-make-network-connected,1
print-words-vertically,0
delete-leaves-with-a-given-value,1
break-a-palindrome,1
sort-the-matrix-diagonally,1
clone-graph,0
filter-restaurants-by-vegan-friendly-price-and-distance,1
find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,1
reduce-array-size-to-the-half,1
maximum-product-of-splitted-binary-tree,1
gas-station,1
number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold,1
angle-between-hands-of-a-clock,1
minimum-number-of-steps-to-make-two-strings-anagram,0
tweet-counts-per-frequency,0
product-of-the-last-k-numbers,1
maximum-number-of-events-that-can-be-attended,1
apply-discount-every-n-orders,1
number-of-substrings-containing-all-three-characters,1
validate-binary-tree-nodes,0
closest-divisors,0
rank-teams-by-votes,1
linked-list-in-binary-tree,1
single-number-ii,1
find-the-longest-substring-containing-vowels-in-even-counts,1
longest-zigzag-path-in-a-binary-tree,0
number-of-times-binary-string-is-prefix-aligned,1
time-needed-to-inform-all-employees,1
copy-list-with-random-pointer,1
design-a-stack-with-increment-operation,1
balance-a-binary-search-tree,1
cinema-seat-allocation,1
sort-integers-by-the-power-value,1
word-break,1
four-divisors,1
check-if-there-is-a-valid-path-in-a-grid,1
count-number-of-teams,1
design-underground-system,1
construct-k-palindrome-strings,1
circle-and-rectangle-overlapping,1
number-of-steps-to-reduce-a-number-in-binary-representation-to-one,1
longest-happy-string,0
queries-on-a-permutation-with-key,1
html-entity-parser,1
find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k,1
the-k-th-lexicographical-string-of-all-happy-strings-of-length-n,1
display-table-of-food-orders-in-a-restaurant,1
minimum-number-of-frogs-croaking,0
linked-list-cycle-ii,1
maximum-points-you-can-obtain-from-cards,1
diagonal-traverse-ii,0
reorder-list,1
max-difference-you-can-get-from-changing-an-integer,0
check-if-a-string-can-break-another-string,1
longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,1
build-an-array-with-stack-operations,1
count-triplets-that-can-form-two-arrays-of-equal-xor,1
minimum-time-to-collect-all-apples-in-a-tree,0
simplified-fractions,1
count-good-nodes-in-binary-tree,1
rearrange-words-in-a-sentence,1
people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,1
maximum-number-of-vowels-in-a-substring-of-given-length,1
pseudo-palindromic-paths-in-a-binary-tree,1
lru-cache,1
check-if-a-string-contains-all-binary-codes-of-size-k,1
course-schedule-iv,1
maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,1
reorder-routes-to-make-all-paths-lead-to-the-city-zero,1
insertion-sort-list,1
the-k-strongest-values-in-an-array,1
design-browser-history,1
subrectangle-queries,1
find-two-non-overlapping-sub-arrays-each-with-target-sum,0
sort-list,1
least-number-of-unique-integers-after-k-removals,0
minimum-number-of-days-to-make-m-bouquets,1
making-file-names-unique,1
avoid-flood-in-the-city,1
the-kth-factor-of-n,1
longest-subarray-of-1s-after-deleting-one-element,0
check-if-array-pairs-are-divisible-by-k,1
number-of-subsequences-that-satisfy-the-given-sum-condition,1
evaluate-reverse-polish-notation,1
last-moment-before-all-ants-fall-out-of-a-plank,1
count-submatrices-with-all-ones,1
range-sum-of-sorted-subarray-sums,1
minimum-difference-between-largest-and-smallest-value-in-three-moves,0
reverse-words-in-a-string,1
number-of-substrings-with-only-1s,1
path-with-maximum-probability,1
number-of-nodes-in-the-sub-tree-with-the-same-label,1
maximum-product-subarray,1
number-of-sub-arrays-with-odd-sum,0
number-of-good-ways-to-split-a-string,0
minimum-suffix-flips,1
find-minimum-in-rotated-sorted-array,1
number-of-good-leaf-nodes-pairs,0
find-the-winner-of-an-array-game,1
minimum-swaps-to-arrange-a-binary-grid,0
can-convert-string-in-k-moves,1
minimum-insertions-to-balance-a-parentheses-string,0
find-kth-bit-in-nth-binary-string,1
maximum-number-of-non-overlapping-subarrays-with-sum-equals-target,0
min-stack,1
minimum-operations-to-make-array-equal,1
magnetic-force-between-two-balls,1
minimum-number-of-vertices-to-reach-all-nodes,1
minimum-numbers-of-function-calls-to-make-target-array,0
detect-cycles-in-2d-grid,1
maximum-number-of-coins-you-can-get,1
find-latest-group-of-size-m,1
maximum-length-of-subarray-with-positive-product,1
number-of-ways-to-split-a-string,0
shortest-subarray-to-be-removed-to-make-array-sorted,1
number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers,1
minimum-time-to-make-rope-colorful,0
count-unhappy-friends,0
min-cost-to-connect-all-points,1
maximum-sum-obtained-of-any-permutation,1
make-sum-divisible-by-p,1
split-a-string-into-the-max-number-of-unique-substrings,1
maximum-non-negative-product-in-a-matrix,0
maximum-profit-of-operating-a-centennial-wheel,1
throne-inheritance,1
alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,1
find-valid-matrix-given-row-and-column-sums,0
even-odd-tree,1
maximal-network-rank,1
split-two-strings-to-make-palindrome,0
find-peak-element,1
coordinate-with-maximum-network-quality,1
number-of-sets-of-k-non-overlapping-line-segments,1
lexicographically-smallest-string-after-applying-operations,1
best-team-with-no-conflicts,1
arithmetic-subarrays,1
path-with-minimum-effort,1
widest-vertical-area-between-two-points-containing-no-points,1
count-substrings-that-differ-by-one-character,0
count-sorted-vowel-strings,0
furthest-building-you-can-reach,1
minimum-deletions-to-make-character-frequencies-unique,0
sell-diminishing-valued-colored-balls,0
compare-version-numbers,1
minimum-deletions-to-make-string-balanced,0
minimum-jumps-to-reach-home,0
determine-if-two-strings-are-close,1
minimum-operations-to-reduce-x-to-zero,1
fraction-to-recurring-decimal,1
smallest-string-with-a-given-numeric-value,1
ways-to-make-a-fair-array,1
merge-in-between-linked-lists,1
two-sum-ii-input-array-is-sorted,1
design-front-middle-back-queue,1
find-the-most-competitive-subsequence,1
minimum-moves-to-make-array-complementary,0
max-number-of-k-sum-pairs,1
concatenation-of-consecutive-binary-numbers,1
sum-of-absolute-differences-in-a-sorted-array,1
stone-game-vi,1
partitioning-into-minimum-number-of-deci-binary-numbers,1
stone-game-vii,1
maximum-erasure-value,1
jump-game-vi,1
average-waiting-time,1
maximum-binary-string-after-change,0
maximum-number-of-eaten-apples,1
where-will-the-ball-fall,1
count-good-meals,1
ways-to-split-array-into-three-subarrays,0
maximum-score-from-removing-substrings,0
construct-the-lexicographically-largest-valid-sequence,0
factorial-trailing-zeroes,1
swapping-nodes-in-a-linked-list,1
minimize-hamming-distance-after-swap-operations,1
tuple-with-same-product,1
largest-submatrix-with-rearrangements,1
binary-search-tree-iterator,1
minimum-number-of-people-to-teach,0
decode-xored-permutation,1
change-minimum-characters-to-satisfy-one-of-three-conditions,0
find-kth-largest-xor-coordinate-value,1
restore-the-array-from-adjacent-pairs,1
can-you-eat-your-favorite-candy-on-your-favorite-day,0
maximum-absolute-sum-of-any-subarray,0
minimum-length-of-string-after-deleting-similar-ends,1
maximum-score-from-removing-stones,1
largest-merge-of-two-strings,1
count-number-of-homogenous-substrings,0
